timestamp,close,EMA_5,EMA_10,EMA_25,EMA_50,bb_upper,bb_lower
2025-02-17,95780.0,,,,,,
2025-02-18,95671.74,,,,,,
2025-02-19,96644.37,,,,,,
2025-02-20,98305.0,,,,,,
2025-02-21,96181.98,96592.46691358025,,,,,
2025-02-22,96551.01,96578.64794238684,,,,,
2025-02-23,96258.0,96471.76529492457,,,,,
2025-02-24,91552.88,94832.13686328306,,,,,
2025-02-25,88680.4,92781.55790885538,,,,,
2025-02-26,84250.09,89937.73527257025,92422.57699926807,,,,
2025-02-27,84708.58,88194.68351504684,91020.03209031024,,,,
2025-02-28,84349.94,86913.10234336456,89807.28807389019,,,,
2025-03-01,86064.53,86630.24489557638,89126.78660591015,,,,
2025-03-02,94270.0,89176.82993038427,90061.91631392649,,,,
2025-03-03,86220.61,88191.42328692286,89363.49698412167,,,,
2025-03-04,87281.98,87888.27552461525,88985.03935064499,,,,
2025-03-05,90606.01,88794.18701641017,89279.76128689136,,,,
2025-03-06,89931.89,89173.42134427345,89398.3301438202,,,,
2025-03-07,86801.75,88382.86422951563,88926.22466312561,,,,
2025-03-08,86222.45,87662.72615301043,88434.62926983005,,,100440.10651972593,81193.21448027407
2025-03-09,80734.37,85353.27410200695,87034.58212986095,,,100347.88871314928,79780.86928685072
2025-03-10,78595.86,83100.8027346713,85500.26901534077,,,100294.42916060147,78126.74083939851
2025-03-11,82932.99,83044.86515644754,85033.49101255153,,,99378.63244213648,77671.3995578635
2025-03-12,83680.12,83256.61677096503,84787.42355572397,,,97854.94016105284,77732.60383894715
2025-03-13,81115.78,82543.00451397669,84119.85200013779,87685.48020738595,,96725.7038493677,77355.2201506323
2025-03-14,83983.2,83023.06967598446,84095.00618193092,87400.68942220241,,95130.08025969107,77694.06274030892
2025-03-15,84338.44,83461.52645065631,84139.2668761253,87165.13177434068,,93303.04518558274,78329.14181441723
2025-03-16,82574.53,83165.8609671042,83854.76926228433,86812.00856092987,,92492.32447358393,78242.02752641609
2025-03-17,84010.03,83447.25064473614,83882.99848732354,86596.47174855066,,92113.80761367767,78153.50738632234
2025-03-18,82715.03,83203.17709649076,83670.64058053742,86297.89930635446,,92107.6310589284,78006.17794107161
2025-03-19,86845.94,84417.43139766052,84247.96774771244,86340.05628278875,,92254.8179478641,78072.72705213589
2025-03-20,84223.39,84352.75093177368,84243.49906631018,86177.23579949731,,92251.60912104338,78063.2808789566
2025-03-21,84088.79,84264.7639545158,84215.37014516287,86016.5861226129,,92154.57042569856,77962.74557430143
